Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2017 00:00   CDT,0.79,5.60,710
08/01/2017 00:15   CDT,0.79,5.59,710
08/01/2017 00:30   CDT,0.82,5.58,739
08/01/2017 00:45   CDT,0.79,5.58,716
08/01/2017 01:00   CDT,0.79,5.57,716
08/01/2017 01:15   CDT,0.80,5.57,723
08/01/2017 01:30   CDT,0.81,5.56,730
08/01/2017 01:45   CDT,0.80,5.55,722
08/01/2017 02:00   CDT,0.82,5.55,737
08/01/2017 02:15   CDT,0.82,5.54,736
08/01/2017 02:30   CDT,0.85,5.53,765
08/01/2017 02:45   CDT,0.82,5.52,734
08/01/2017 03:00   CDT,0.83,5.52,742
08/01/2017 03:15   CDT,0.82,5.51,734
08/01/2017 03:30   CDT,0.82,5.51,734
08/01/2017 03:45   CDT,0.82,5.50,733
08/01/2017 04:00   CDT,0.84,5.50,748
08/01/2017 04:15   CDT,0.81,5.50,725
08/01/2017 04:30   CDT,0.81,5.50,725
08/01/2017 04:45   CDT,0.82,5.50,733
08/01/2017 05:00   CDT,0.80,5.51,719
08/01/2017 05:15   CDT,0.79,5.53,705
08/01/2017 05:30   CDT,0.78,5.54,698
08/01/2017 05:45   CDT,0.76,5.55,684
08/01/2017 06:00   CDT,0.71,5.57,640
08/01/2017 06:15   CDT,0.74,5.58,671
08/01/2017 06:30   CDT,0.66,5.60,597
08/01/2017 06:45   CDT,0.69,5.62,629
08/01/2017 07:00   CDT,0.68,5.64,615
08/01/2017 07:15   CDT,0.68,5.66,616
08/01/2017 07:30   CDT,0.65,5.68,594
08/01/2017 07:45   CDT,0.63,5.70,573
08/01/2017 08:00   CDT,0.63,5.72,581
08/01/2017 08:15   CDT,0.62,5.75,568
08/01/2017 08:30   CDT,0.60,5.76,553
08/01/2017 08:45   CDT,0.60,5.78,554
08/01/2017 09:00   CDT,0.59,5.79,547
08/01/2017 09:15   CDT,0.58,5.82,533
08/01/2017 09:30   CDT,0.57,5.84,527
08/01/2017 09:45   CDT,0.53,5.84,488
08/01/2017 10:00   CDT,0.54,5.87,505
08/01/2017 10:15   CDT,0.51,5.87,474
08/01/2017 10:30   CDT,0.53,5.89,498
08/01/2017 10:45   CDT,0.53,5.91,499
08/01/2017 11:00   CDT,0.55,5.93,516
08/01/2017 11:15   CDT,0.53,5.95,493
08/01/2017 11:30   CDT,0.57,5.95,533
08/01/2017 11:45   CDT,0.54,5.96,510
08/01/2017 12:00   CDT,0.58,5.97,541
08/01/2017 12:15   CDT,0.60,5.98,566
08/01/2017 12:30   CDT,0.62,5.98,581
08/01/2017 12:45   CDT,0.61,5.99,574
08/01/2017 13:00   CDT,0.61,5.99,574
08/01/2017 13:15   CDT,0.60,6.00,567
08/01/2017 13:30   CDT,0.60,6.00,567
08/01/2017 13:45   CDT,0.63,6.01,591
08/01/2017 14:00   CDT,0.62,6.00,582
08/01/2017 14:15   CDT,0.64,6.01,607
08/01/2017 14:30   CDT,0.63,6.01,591
08/01/2017 14:45   CDT,0.62,6.01,583
08/01/2017 15:00   CDT,0.64,6.01,607
08/01/2017 15:15   CDT,0.63,6.00,598
08/01/2017 15:30   CDT,0.64,6.01,607
08/01/2017 15:45   CDT,0.65,6.02,615
08/01/2017 16:00   CDT,0.62,6.02,584
08/01/2017 16:15   CDT,0.63,6.01,599
08/01/2017 16:30   CDT,0.63,6.02,591
08/01/2017 16:45   CDT,0.59,6.02,560
08/01/2017 17:00   CDT,0.61,6.02,576
08/01/2017 17:15   CDT,0.57,6.03,537
08/01/2017 17:30   CDT,0.60,6.03,568
08/01/2017 17:45   CDT,0.58,6.03,553
08/01/2017 18:00   CDT,0.57,6.03,537
08/01/2017 18:15   CDT,0.57,6.03,537
08/01/2017 18:30   CDT,0.59,6.04,561
08/01/2017 18:45   CDT,0.58,6.03,553
08/01/2017 19:00   CDT,0.58,6.04,545
08/01/2017 19:15   CDT,0.59,6.04,561
08/01/2017 19:30   CDT,0.58,6.04,545
08/01/2017 19:45   CDT,0.63,6.04,593
08/01/2017 20:00   CDT,0.60,6.03,568
08/01/2017 20:15   CDT,0.63,6.02,599
08/01/2017 20:30   CDT,0.64,6.03,608
08/01/2017 20:45   CDT,0.61,6.03,576
08/01/2017 21:00   CDT,0.65,6.03,616
08/01/2017 21:15   CDT,0.65,6.02,615
08/01/2017 21:30   CDT,0.68,6.01,638
08/01/2017 21:45   CDT,0.66,6.01,622
08/01/2017 22:00   CDT,0.63,6.01,599
08/01/2017 22:15   CDT,0.69,6.00,653
08/01/2017 22:30   CDT,0.68,6.00,645
08/01/2017 22:45   CDT,0.68,5.99,645
08/01/2017 23:00   CDT,0.66,5.98,621
08/01/2017 23:15   CDT,0.70,5.98,660
08/01/2017 23:30   CDT,0.68,6.01,638
08/01/2017 23:45   CDT,0.66,6.01,622
08/02/2017 00:00   CDT,0.63,6.01,599
08/02/2017 00:15   CDT,0.69,6.00,653
08/02/2017 00:30   CDT,0.68,6.00,645
08/02/2017 00:45   CDT,0.68,5.99,645
08/02/2017 01:00   CDT,0.66,5.98,621
08/02/2017 01:15   CDT,0.70,5.98,660
08/02/2017 01:30   CDT,0.79,5.91,741
08/02/2017 01:45   CDT,0.77,5.90,717
08/02/2017 02:00   CDT,0.79,5.89,739
08/02/2017 02:15   CDT,0.79,5.89,739
08/02/2017 02:30   CDT,0.77,5.88,715
08/02/2017 02:45   CDT,0.83,5.86,768
08/02/2017 03:00   CDT,0.81,5.85,752
08/02/2017 03:15   CDT,0.80,5.85,744
08/02/2017 03:30   CDT,0.84,5.84,774
08/02/2017 03:45   CDT,0.79,5.83,727
08/02/2017 04:00   CDT,0.84,5.82,781
08/02/2017 04:15   CDT,0.83,5.81,764
08/02/2017 04:30   CDT,0.80,5.80,740
08/02/2017 04:45   CDT,0.86,5.79,794
08/02/2017 05:00   CDT,0.82,5.79,755
08/02/2017 05:15   CDT,0.84,5.78,770
08/02/2017 05:30   CDT,0.84,5.78,770
08/02/2017 05:45   CDT,0.84,5.78,770
08/02/2017 06:00   CDT,0.79,5.78,731
