Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2012 00:00   CDT,0.92,5.81,849
08/01/2012 00:15   CDT,0.92,5.80,848
08/01/2012 00:30   CDT,0.90,5.80,833
08/01/2012 00:45   CDT,0.93,5.80,856
08/01/2012 01:00   CDT,0.94,5.79,871
08/01/2012 01:15   CDT,0.94,5.78,870
08/01/2012 01:30   CDT,0.94,5.77,869
08/01/2012 01:45   CDT,0.95,5.77,877
08/01/2012 02:00   CDT,0.96,5.77,884
08/01/2012 02:15   CDT,0.99,5.76,907
08/01/2012 02:30   CDT,0.96,5.76,883
08/01/2012 02:45   CDT,0.95,5.75,875
08/01/2012 03:00   CDT,0.97,5.74,889
08/01/2012 03:15   CDT,0.97,5.74,889
08/01/2012 03:30   CDT,1.01,5.73,927
08/01/2012 03:45   CDT,1.00,5.72,918
08/01/2012 04:00   CDT,0.99,5.71,902
08/01/2012 04:15   CDT,0.99,5.71,902
08/01/2012 04:30   CDT,0.99,5.70,901
08/01/2012 04:45   CDT,0.99,5.69,900
08/01/2012 05:00   CDT,0.99,5.68,907
08/01/2012 05:15   CDT,0.98,5.67,891
08/01/2012 05:30   CDT,0.98,5.66,890
08/01/2012 05:45   CDT,0.97,5.66,882
08/01/2012 06:00   CDT,0.99,5.65,896
08/01/2012 06:15   CDT,0.97,5.64,880
08/01/2012 06:30   CDT,1.00,5.63,910
08/01/2012 06:45   CDT,0.97,5.62,878
08/01/2012 07:00   CDT,0.99,5.62,894
08/01/2012 07:15   CDT,0.97,5.61,878
08/01/2012 07:30   CDT,0.98,5.60,884
08/01/2012 07:45   CDT,0.98,5.59,883
08/01/2012 08:00   CDT,1.00,5.58,905
08/01/2012 08:15   CDT,1.03,5.58,928
08/01/2012 08:30   CDT,0.99,5.57,889
08/01/2012 08:45   CDT,0.99,5.56,888
08/01/2012 09:00   CDT,1.04,5.55,932
08/01/2012 09:15   CDT,1.00,5.54,901
08/01/2012 09:30   CDT,1.01,5.54,909
08/01/2012 09:45   CDT,0.99,5.54,886
08/01/2012 10:00   CDT,0.97,5.53,870
08/01/2012 10:15   CDT,0.99,5.53,885
08/01/2012 11:30   CDT,0.95,5.56,858
08/01/2012 11:45   CDT,0.94,5.57,844
08/01/2012 12:00   CDT,0.94,5.58,845
08/01/2012 12:15   CDT,0.90,5.59,815
08/01/2012 12:30   CDT,0.89,5.60,809
08/01/2012 12:45   CDT,0.89,5.62,803
08/01/2012 13:00   CDT,0.87,5.63,788
08/01/2012 13:15   CDT,0.85,5.64,774
08/01/2012 13:30   CDT,0.83,5.66,753
08/01/2012 13:45   CDT,0.79,5.67,723
08/01/2012 14:00   CDT,0.77,5.68,701
08/01/2012 14:15   CDT,0.76,5.69,694
08/01/2012 14:30   CDT,0.77,5.70,702
08/01/2012 14:45   CDT,0.77,5.71,703
08/01/2012 15:00   CDT,0.76,5.71,696
08/01/2012 15:15   CDT,0.79,5.71,718
08/01/2012 15:30   CDT,0.81,5.72,742
08/01/2012 15:45   CDT,0.84,5.72,765
08/01/2012 16:00   CDT,0.84,5.71,772
08/01/2012 16:15   CDT,0.87,5.71,795
08/01/2012 16:30   CDT,0.87,5.70,794
08/01/2012 16:45   CDT,0.87,5.71,795
08/01/2012 17:00   CDT,0.89,5.70,809
08/01/2012 17:15   CDT,0.89,5.69,809
08/01/2012 17:30   CDT,0.89,5.69,816
08/01/2012 17:45   CDT,0.85,5.68,777
08/01/2012 18:00   CDT,0.85,5.68,777
08/01/2012 18:15   CDT,0.89,5.67,814
08/01/2012 18:30   CDT,0.88,5.67,799
08/01/2012 18:45   CDT,0.89,5.66,814
08/01/2012 19:00   CDT,0.88,5.66,798
08/01/2012 19:15   CDT,0.89,5.65,813
08/01/2012 19:30   CDT,0.89,5.64,804
08/01/2012 19:45   CDT,0.85,5.64,774
08/01/2012 20:00   CDT,0.88,5.64,797
08/01/2012 20:15   CDT,0.85,5.63,773
08/01/2012 20:30   CDT,0.84,5.63,766
08/01/2012 20:45   CDT,0.84,5.63,758
08/01/2012 21:00   CDT,0.83,5.63,750
08/01/2012 21:15   CDT,0.84,5.63,766
08/01/2012 21:30   CDT,0.84,5.63,758
08/01/2012 21:45   CDT,0.84,5.63,766
08/01/2012 22:00   CDT,0.80,5.63,728
08/01/2012 22:15   CDT,0.79,5.63,720
08/01/2012 22:30   CDT,0.78,5.63,705
08/01/2012 22:45   CDT,0.79,5.63,713
08/01/2012 23:00   CDT,0.79,5.63,713
08/01/2012 23:15   CDT,0.79,5.63,720
08/01/2012 23:30   CDT,0.81,5.63,735
08/01/2012 23:45   CDT,0.83,5.63,750
08/02/2012 00:00   CDT,0.82,5.62,742
08/02/2012 00:15   CDT,0.84,5.62,757
08/02/2012 00:30   CDT,0.84,5.61,764
08/02/2012 00:45   CDT,0.84,5.61,764
08/02/2012 01:00   CDT,0.84,5.61,764
08/02/2012 01:15   CDT,0.88,5.61,794
08/02/2012 01:30   CDT,0.86,5.60,778
08/02/2012 01:45   CDT,0.88,5.59,793
08/02/2012 02:00   CDT,0.88,5.59,793
08/02/2012 02:15   CDT,0.85,5.59,770
08/02/2012 02:30   CDT,0.89,5.58,807
08/02/2012 02:45   CDT,0.90,5.58,814
08/02/2012 03:00   CDT,0.90,5.57,814
08/02/2012 03:15   CDT,0.88,5.56,790
08/02/2012 03:30   CDT,0.91,5.55,819
08/02/2012 03:45   CDT,0.92,5.55,827
08/02/2012 04:00   CDT,0.90,5.54,811
08/02/2012 04:15   CDT,0.92,5.53,825
08/02/2012 04:30   CDT,0.94,5.52,839
08/02/2012 04:45   CDT,0.94,5.52,847
08/02/2012 05:00   CDT,0.93,5.50,830
08/02/2012 05:15   CDT,0.94,5.49,837
08/02/2012 05:30   CDT,0.96,5.49,859
08/02/2012 05:45   CDT,0.95,5.48,851
08/02/2012 06:00   CDT,0.94,5.47,835
08/02/2012 06:15   CDT,0.93,5.46,827
08/02/2012 06:30   CDT,0.94,5.45,833
08/02/2012 06:45   CDT,0.92,5.44,817
08/02/2012 07:00   CDT,0.94,5.43,831
08/02/2012 07:15   CDT,0.91,5.42,808
08/02/2012 07:30   CDT,0.94,5.41,830
08/02/2012 07:45   CDT,0.91,5.40,807
08/02/2012 08:00   CDT,0.94,5.39,835
08/02/2012 08:15   CDT,0.93,5.39,821
08/02/2012 08:30   CDT,0.89,5.38,790
08/02/2012 08:45   CDT,0.91,5.37,804
08/02/2012 09:00   CDT,0.92,5.37,811
08/02/2012 09:15   CDT,0.91,5.35,802
08/02/2012 09:30   CDT,0.92,5.34,809
08/02/2012 09:45   CDT,0.89,5.34,779
08/02/2012 10:00   CDT,0.90,5.33,793
08/02/2012 10:15   CDT,0.91,5.33,801
08/02/2012 10:30   CDT,0.91,5.33,801
08/02/2012 10:45   CDT,0.92,5.33,808
08/02/2012 11:00   CDT,0.92,5.33,808
