Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2013 00:00   CDT,0.89,5.23,770
08/01/2013 00:15   CDT,0.88,5.23,763
08/01/2013 00:30   CDT,0.92,5.22,799
08/01/2013 00:45   CDT,0.92,5.21,798
08/01/2013 01:00   CDT,0.92,5.21,798
08/01/2013 01:15   CDT,0.94,5.20,811
08/01/2013 01:30   CDT,0.90,5.20,782
08/01/2013 01:45   CDT,0.94,5.19,810
08/01/2013 02:00   CDT,0.94,5.18,810
08/01/2013 02:15   CDT,0.97,5.17,838
08/01/2013 02:30   CDT,0.96,5.17,830
08/01/2013 02:45   CDT,0.94,5.16,808
08/01/2013 03:00   CDT,0.94,5.15,814
08/01/2013 03:15   CDT,0.94,5.14,813
08/01/2013 03:30   CDT,0.95,5.13,820
08/01/2013 03:45   CDT,0.96,5.13,827
08/01/2013 04:00   CDT,0.98,5.12,840
08/01/2013 04:15   CDT,0.97,5.11,832
08/01/2013 04:30   CDT,0.96,5.10,824
08/01/2013 04:45   CDT,0.96,5.10,824
08/01/2013 05:00   CDT,0.96,5.09,823
08/01/2013 05:15   CDT,0.94,5.08,808
08/01/2013 05:30   CDT,0.97,5.08,829
08/01/2013 05:45   CDT,0.96,5.07,821
08/01/2013 06:00   CDT,0.99,5.07,850
08/01/2013 06:15   CDT,0.98,5.06,835
08/01/2013 06:30   CDT,0.95,5.06,813
08/01/2013 06:45   CDT,0.95,5.06,813
08/01/2013 07:00   CDT,0.94,5.06,799
08/01/2013 07:15   CDT,0.95,5.06,813
08/01/2013 07:30   CDT,0.94,5.07,800
08/01/2013 07:45   CDT,0.93,5.08,794
08/01/2013 08:00   CDT,0.87,5.08,744
08/01/2013 08:15   CDT,0.89,5.10,767
08/01/2013 08:30   CDT,0.88,5.11,753
08/01/2013 08:45   CDT,0.89,5.13,762
08/01/2013 09:00   CDT,0.81,5.14,698
08/01/2013 09:15   CDT,0.84,5.15,720
08/01/2013 09:30   CDT,0.79,5.16,685
08/01/2013 09:45   CDT,0.81,5.19,702
08/01/2013 10:00   CDT,0.81,5.21,703
08/01/2013 10:15   CDT,0.76,5.22,661
08/01/2013 10:30   CDT,0.79,5.24,691
08/01/2013 10:45   CDT,0.75,5.27,657
08/01/2013 11:00   CDT,0.73,5.29,644
08/01/2013 11:15   CDT,0.78,5.30,681
08/01/2013 11:30   CDT,0.74,5.31,652
08/01/2013 11:45   CDT,0.73,5.33,639
08/01/2013 12:00   CDT,0.73,5.35,648
08/01/2013 12:15   CDT,0.71,5.35,626
08/01/2013 12:30   CDT,0.72,5.36,634
08/01/2013 12:45   CDT,0.75,5.37,664
08/01/2013 13:00   CDT,0.80,5.37,708
08/01/2013 13:15   CDT,0.73,5.37,649
08/01/2013 13:30   CDT,0.76,5.37,671
08/01/2013 13:45   CDT,0.77,5.38,679
08/01/2013 14:00   CDT,0.78,5.37,686
08/01/2013 14:15   CDT,0.74,5.37,657
08/01/2013 14:30   CDT,0.77,5.37,679
08/01/2013 14:45   CDT,0.80,5.37,708
08/01/2013 15:00   CDT,0.82,5.37,723
08/01/2013 15:15   CDT,0.80,5.37,708
08/01/2013 15:30   CDT,0.79,5.36,700
08/01/2013 15:45   CDT,0.80,5.35,707
08/01/2013 16:00   CDT,0.84,5.35,736
08/01/2013 16:15   CDT,0.81,5.34,713
08/01/2013 16:30   CDT,0.85,5.33,749
08/01/2013 16:45   CDT,0.84,5.33,735
08/01/2013 17:00   CDT,0.80,5.33,705
08/01/2013 17:15   CDT,0.85,5.33,749
08/01/2013 17:30   CDT,0.81,5.33,713
08/01/2013 17:45   CDT,0.86,5.32,756
08/01/2013 18:00   CDT,0.85,5.31,748
08/01/2013 18:15   CDT,0.83,5.30,725
08/01/2013 18:30   CDT,0.87,5.30,762
08/01/2013 18:45   CDT,0.87,5.30,762
08/01/2013 19:00   CDT,0.88,5.29,768
08/01/2013 19:15   CDT,0.84,5.29,739
08/01/2013 19:30   CDT,0.84,5.28,738
08/01/2013 19:45   CDT,0.84,5.28,738
08/01/2013 20:00   CDT,0.87,5.28,760
08/01/2013 20:15   CDT,0.87,5.27,759
08/01/2013 20:30   CDT,0.88,5.27,766
08/01/2013 20:45   CDT,0.84,5.26,729
08/01/2013 21:00   CDT,0.91,5.26,795
08/01/2013 21:15   CDT,0.87,5.26,758
08/01/2013 21:30   CDT,0.87,5.25,757
08/01/2013 21:45   CDT,0.90,5.24,786
08/01/2013 22:00   CDT,0.92,5.24,800
08/01/2013 22:15   CDT,0.93,5.23,807
08/01/2013 22:30   CDT,0.92,5.23,799
08/01/2013 22:45   CDT,0.88,5.22,762
08/01/2013 23:00   CDT,0.90,5.22,784
08/01/2013 23:15   CDT,0.90,5.21,783
08/01/2013 23:30   CDT,0.89,5.21,769
08/01/2013 23:45   CDT,0.92,5.20,797
08/02/2013 00:00   CDT,0.92,5.20,797
08/02/2013 00:15   CDT,0.91,5.19,789
08/02/2013 00:30   CDT,0.89,5.19,774
08/02/2013 00:45   CDT,0.94,5.18,817
08/02/2013 01:00   CDT,0.94,5.17,809
08/02/2013 01:15   CDT,0.93,5.16,801
08/02/2013 01:30   CDT,0.94,5.16,815
08/02/2013 01:45   CDT,0.94,5.15,807
08/02/2013 02:00   CDT,0.94,5.14,806
08/02/2013 02:15   CDT,0.95,5.13,820
08/02/2013 02:30   CDT,0.91,5.13,784
08/02/2013 02:45   CDT,0.94,5.12,804
08/02/2013 03:00   CDT,0.92,5.11,789
08/02/2013 03:15   CDT,0.93,5.11,796
08/02/2013 03:30   CDT,0.94,5.10,810
08/02/2013 03:45   CDT,0.93,5.09,795
08/02/2013 04:00   CDT,0.93,5.08,794
08/02/2013 04:15   CDT,0.99,5.07,843
08/02/2013 04:30   CDT,0.94,5.07,800
08/02/2013 04:45   CDT,0.93,5.06,792
08/02/2013 05:00   CDT,0.95,5.05,812
08/02/2013 05:15   CDT,0.94,5.05,805
08/02/2013 05:30   CDT,0.94,5.04,804
08/02/2013 05:45   CDT,0.96,5.03,818
08/02/2013 06:00   CDT,0.99,5.02,838
08/02/2013 06:15   CDT,0.96,5.02,817
08/02/2013 06:30   CDT,0.97,5.01,823
08/02/2013 06:45   CDT,0.94,5.00,801
08/02/2013 07:00   CDT,0.99,5.00,836
08/02/2013 07:15   CDT,0.95,5.00,808
08/02/2013 07:30   CDT,0.96,5.00,815
08/02/2013 07:45   CDT,0.94,5.00,794
08/02/2013 08:00   CDT,0.92,5.00,780
08/02/2013 08:15   CDT,0.92,5.01,780
08/02/2013 08:30   CDT,0.89,5.02,760
08/02/2013 08:45   CDT,0.88,5.03,747
08/02/2013 09:00   CDT,0.88,5.04,747
08/02/2013 09:15   CDT,0.86,5.06,735
08/02/2013 09:30   CDT,0.86,5.07,736
08/02/2013 09:45   CDT,0.84,5.09,723
08/02/2013 10:00   CDT,0.84,5.11,717
08/02/2013 10:15   CDT,0.83,5.13,712
08/02/2013 10:30   CDT,0.79,5.15,677
08/02/2013 10:45   CDT,0.78,5.16,671
08/02/2013 11:00   CDT,0.82,5.18,708
08/02/2013 11:15   CDT,0.77,5.20,666
08/02/2013 11:30   CDT,0.73,5.21,631
08/02/2013 11:45   CDT,0.74,5.22,646
08/02/2013 12:00   CDT,0.74,5.24,647
08/02/2013 12:15   CDT,0.73,5.26,634
08/02/2013 12:30   CDT,0.69,5.26,605
08/02/2013 12:45   CDT,0.72,5.28,628
08/02/2013 13:00   CDT,0.77,5.28,672
08/02/2013 13:15   CDT,0.75,5.29,658
08/02/2013 13:30   CDT,0.79,5.30,696
08/02/2013 13:45   CDT,0.79,5.30,696
08/02/2013 14:00   CDT,0.78,5.31,682
08/02/2013 14:15   CDT,0.80,5.31,704
08/02/2013 14:30   CDT,0.76,5.31,667
08/02/2013 14:45   CDT,0.77,5.31,674
08/02/2013 15:00   CDT,0.79,5.31,696
08/02/2013 15:15   CDT,0.79,5.31,696
08/02/2013 15:30   CDT,0.83,5.31,726
08/02/2013 15:45   CDT,0.82,5.30,718
08/02/2013 16:00   CDT,0.82,5.30,718
08/02/2013 16:15   CDT,0.79,5.27,693
08/02/2013 16:30   CDT,0.87,5.29,761
08/02/2013 16:45   CDT,0.83,5.28,723
08/02/2013 17:00   CDT,0.84,5.28,731
08/02/2013 17:15   CDT,0.83,5.28,723
08/02/2013 17:30   CDT,0.81,5.27,708
08/02/2013 17:45   CDT,0.84,5.27,737
08/02/2013 18:00   CDT,0.84,5.27,737
08/02/2013 18:15   CDT,0.83,5.27,723
08/02/2013 18:30   CDT,0.83,5.27,723
08/02/2013 18:45   CDT,0.87,5.26,758
08/02/2013 19:00   CDT,0.87,5.26,758
08/02/2013 19:15   CDT,0.82,5.26,715
08/02/2013 19:30   CDT,0.82,5.26,715
08/02/2013 19:45   CDT,0.82,5.26,715
08/02/2013 20:00   CDT,0.86,5.26,751
08/02/2013 20:15   CDT,0.83,5.26,722
08/02/2013 20:30   CDT,0.82,5.26,715
08/02/2013 20:45   CDT,0.84,5.25,728
08/02/2013 21:00   CDT,0.86,5.25,750
08/02/2013 21:15   CDT,0.84,5.25,728
08/02/2013 21:30   CDT,0.85,5.25,743
08/02/2013 21:45   CDT,0.86,5.24,749
08/02/2013 22:00   CDT,0.86,5.24,749
08/02/2013 22:15   CDT,0.85,5.23,741
08/02/2013 22:30   CDT,0.89,5.23,770
08/02/2013 22:45   CDT,0.88,5.23,763
08/02/2013 23:00   CDT,0.88,5.22,762
08/02/2013 23:15   CDT,0.88,5.22,762
08/02/2013 23:30   CDT,0.88,5.21,761
08/02/2013 23:45   CDT,0.87,5.21,754
08/03/2013 00:00   CDT,0.87,5.20,753
08/03/2013 00:15   CDT,0.89,5.19,767
08/03/2013 00:30   CDT,0.89,5.19,774
08/03/2013 00:45   CDT,0.91,5.18,788
08/03/2013 01:00   CDT,0.91,5.18,788
08/03/2013 01:15   CDT,0.92,5.17,794
08/03/2013 01:30   CDT,0.89,5.17,773
08/03/2013 01:45   CDT,0.92,5.16,793
08/03/2013 02:00   CDT,0.94,5.15,807
08/03/2013 02:15   CDT,0.97,5.15,836
08/03/2013 02:30   CDT,0.91,5.14,784
08/03/2013 02:45   CDT,0.90,5.14,777
08/03/2013 03:00   CDT,0.94,5.13,805
08/03/2013 03:15   CDT,0.91,5.12,783
08/03/2013 03:30   CDT,0.96,5.11,825
08/03/2013 03:45   CDT,0.93,5.10,795
08/03/2013 04:00   CDT,0.96,5.10,824
08/03/2013 04:15   CDT,0.94,5.09,809
08/03/2013 04:30   CDT,0.94,5.08,801
08/03/2013 04:45   CDT,0.95,5.07,814
08/03/2013 05:00   CDT,0.97,5.06,828
08/03/2013 05:15   CDT,0.94,5.06,806
08/03/2013 05:30   CDT,0.92,5.05,784
08/03/2013 05:45   CDT,0.94,5.05,805
08/03/2013 06:00   CDT,0.98,5.04,833
08/03/2013 06:15   CDT,0.96,5.03,818
08/03/2013 06:30   CDT,0.97,5.02,824
08/03/2013 06:45   CDT,0.98,5.01,830
08/03/2013 07:00   CDT,0.95,5.01,809
08/03/2013 07:15   CDT,0.89,5.01,752
08/03/2013 07:30   CDT,0.97,5.01,823
08/03/2013 07:45   CDT,0.94,5.01,802
08/03/2013 08:00   CDT,0.94,5.01,795
08/03/2013 08:15   CDT,0.94,5.02,796
08/03/2013 08:30   CDT,0.90,5.02,767
08/03/2013 08:45   CDT,0.87,5.04,740
08/03/2013 09:00   CDT,0.86,5.05,734
08/03/2013 09:15   CDT,0.88,5.06,749
08/03/2013 09:30   CDT,0.86,5.08,736
08/03/2013 09:45   CDT,0.81,5.10,695
08/03/2013 10:00   CDT,0.80,5.12,689
08/03/2013 10:15   CDT,0.80,5.14,691
08/03/2013 10:30   CDT,0.79,5.16,685
08/03/2013 10:45   CDT,0.76,5.19,658
08/03/2013 11:00   CDT,0.74,5.20,645
08/03/2013 11:15   CDT,0.74,5.22,646
08/03/2013 11:30   CDT,0.73,5.24,633
08/03/2013 11:45   CDT,0.71,5.26,620
08/03/2013 12:00   CDT,0.73,5.29,636
08/03/2013 12:15   CDT,0.68,5.31,601
08/03/2013 12:30   CDT,0.68,5.33,595
08/03/2013 12:45   CDT,0.71,5.35,626
08/03/2013 13:00   CDT,0.68,5.37,598
08/03/2013 13:15   CDT,0.65,5.38,576
08/03/2013 13:30   CDT,0.63,5.38,561
08/03/2013 13:45   CDT,0.68,5.40,607
08/03/2013 14:00   CDT,0.68,5.41,607
08/03/2013 14:15   CDT,0.69,5.42,616
08/03/2013 14:30   CDT,0.69,5.42,616
08/03/2013 14:45   CDT,0.70,5.42,623
08/03/2013 15:00   CDT,0.74,5.42,660
