Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2014 00:00   CDT,1.14,6.68,1140
08/01/2014 00:15   CDT,1.16,6.67,1170
08/01/2014 00:30   CDT,1.18,6.67,1180
08/01/2014 00:45   CDT,1.18,6.66,1180
08/01/2014 01:00   CDT,1.17,6.66,1170
08/01/2014 01:15   CDT,1.13,6.66,1130
08/01/2014 01:30   CDT,1.18,6.65,1180
08/01/2014 01:45   CDT,1.19,6.64,1190
08/01/2014 02:00   CDT,1.19,6.64,1190
08/01/2014 02:15   CDT,1.17,6.64,1170
08/01/2014 02:30   CDT,1.18,6.64,1180
08/01/2014 02:45   CDT,1.17,6.63,1170
08/01/2014 03:00   CDT,1.15,6.63,1150
08/01/2014 03:15   CDT,1.19,6.63,1200
08/01/2014 03:30   CDT,1.14,6.63,1150
08/01/2014 03:45   CDT,1.16,6.63,1160
08/01/2014 04:00   CDT,1.18,6.63,1180
08/01/2014 04:15   CDT,1.16,6.63,1160
08/01/2014 04:30   CDT,1.15,6.63,1150
08/01/2014 04:45   CDT,1.16,6.63,1160
08/01/2014 05:00   CDT,1.15,6.63,1150
08/01/2014 05:15   CDT,1.15,6.62,1150
08/01/2014 05:30   CDT,1.16,6.62,1160
08/01/2014 05:45   CDT,1.13,6.62,1130
08/01/2014 06:00   CDT,1.17,6.62,1170
08/01/2014 06:15   CDT,1.17,6.62,1170
08/01/2014 06:30   CDT,1.16,6.61,1160
08/01/2014 06:45   CDT,1.20,6.61,1200
08/01/2014 07:00   CDT,1.13,6.61,1130
08/01/2014 07:15   CDT,1.19,6.61,1190
08/01/2014 07:30   CDT,1.18,6.62,1180
08/01/2014 07:45   CDT,1.14,6.63,1140
08/01/2014 08:00   CDT,1.05,6.68,1060
08/01/2014 08:15   CDT,1.01,6.75,1020
08/01/2014 08:30   CDT,0.97,6.79,985
08/01/2014 08:45   CDT,0.96,6.80,977
08/01/2014 09:00   CDT,0.95,6.80,969
08/01/2014 09:15   CDT,0.99,6.80,1000
08/01/2014 09:30   CDT,1.00,6.80,1020
08/01/2014 09:45   CDT,1.02,6.80,1040
08/01/2014 10:00   CDT,1.03,6.80,1050
08/01/2014 10:15   CDT,1.04,6.79,1060
08/01/2014 10:30   CDT,1.09,6.79,1100
08/01/2014 10:45   CDT,1.04,6.78,1060
08/01/2014 11:00   CDT,1.03,6.78,1040
08/01/2014 11:15   CDT,1.05,6.78,1070
08/01/2014 11:30   CDT,1.06,6.78,1080
08/01/2014 11:45   CDT,1.09,6.79,1100
08/01/2014 12:00   CDT,1.03,6.78,1040
08/01/2014 12:15   CDT,1.03,6.84,1050
08/01/2014 12:30   CDT,0.98,6.89,1000
08/01/2014 12:45   CDT,0.93,6.92,954
08/01/2014 13:00   CDT,0.95,6.95,982
08/01/2014 13:15   CDT,0.89,6.98,916
08/01/2014 13:30   CDT,0.84,7.00,874
08/01/2014 13:45   CDT,0.88,7.02,910
08/01/2014 14:00   CDT,0.91,7.03,946
08/01/2014 14:15   CDT,0.88,7.04,912
08/01/2014 14:30   CDT,0.91,7.05,947
08/01/2014 14:45   CDT,0.85,7.05,887
08/01/2014 15:00   CDT,0.86,7.06,896
08/01/2014 15:15   CDT,0.89,7.06,922
08/01/2014 15:30   CDT,0.92,7.05,956
08/01/2014 15:45   CDT,0.89,7.06,931
08/01/2014 16:00   CDT,0.92,7.06,957
08/01/2014 16:15   CDT,0.89,7.07,932
08/01/2014 16:30   CDT,0.88,7.06,913
08/01/2014 16:45   CDT,0.89,7.06,931
08/01/2014 17:00   CDT,0.94,7.07,975
08/01/2014 17:15   CDT,0.88,7.07,914
08/01/2014 17:30   CDT,0.89,7.06,922
08/01/2014 17:45   CDT,0.90,7.06,940
08/01/2014 18:00   CDT,0.92,7.06,957
08/01/2014 18:15   CDT,0.97,7.06,1010
08/01/2014 18:30   CDT,0.89,7.06,931
08/01/2014 18:45   CDT,0.91,7.05,947
08/01/2014 19:00   CDT,0.90,7.06,940
08/01/2014 19:15   CDT,0.89,7.08,924
08/01/2014 19:30   CDT,0.77,7.23,813
08/01/2014 19:45   CDT,0.51,7.39,546
08/01/2014 20:00   CDT,0.38,7.41,413
08/01/2014 20:15   CDT,0.36,7.40,386
08/01/2014 20:30   CDT,0.41,7.38,439
08/01/2014 20:45   CDT,0.53,7.35,571
08/01/2014 21:00   CDT,0.60,7.33,642
08/01/2014 21:15   CDT,0.70,7.30,747
08/01/2014 21:30   CDT,0.76,7.29,808
08/01/2014 21:45   CDT,0.79,7.29,844
08/01/2014 22:00   CDT,0.79,7.28,843
08/01/2014 22:15   CDT,0.83,7.27,878
08/01/2014 22:30   CDT,0.87,7.26,921
