Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2009 00:00   CDT,0.79,5.11,681
08/01/2009 00:15   CDT,0.81,5.09,694
08/01/2009 00:30   CDT,0.80,5.09,687
08/01/2009 00:45   CDT,0.79,5.07,679
08/01/2009 01:00   CDT,0.79,5.07,679
08/01/2009 01:15   CDT,0.80,5.05,684
08/01/2009 01:30   CDT,0.82,5.04,698
08/01/2009 01:45   CDT,0.84,5.03,718
08/01/2009 02:00   CDT,0.83,5.02,703
08/01/2009 02:15   CDT,0.83,5.01,702
08/01/2009 02:30   CDT,0.83,4.99,701
08/01/2009 02:45   CDT,0.85,4.98,721
08/01/2009 03:00   CDT,0.84,4.97,706
08/01/2009 03:15   CDT,0.87,4.96,734
08/01/2009 03:30   CDT,0.85,4.95,719
08/01/2009 03:45   CDT,0.86,4.93,724
08/01/2009 04:00   CDT,0.85,4.92,717
08/01/2009 04:15   CDT,0.86,4.91,723
08/01/2009 04:30   CDT,0.86,4.90,722
08/01/2009 04:45   CDT,0.85,4.89,714
08/01/2009 05:00   CDT,0.84,4.88,699
08/01/2009 05:15   CDT,0.87,4.86,726
08/01/2009 05:30   CDT,0.84,4.85,697
08/01/2009 05:45   CDT,0.87,4.84,724
08/01/2009 06:00   CDT,0.85,4.83,709
08/01/2009 06:15   CDT,0.84,4.83,695
08/01/2009 06:30   CDT,0.89,4.81,742
08/01/2009 06:45   CDT,0.90,4.80,749
08/01/2009 07:00   CDT,0.88,4.80,728
08/01/2009 07:15   CDT,0.87,4.79,720
08/01/2009 07:30   CDT,0.87,4.79,720
08/01/2009 07:45   CDT,0.88,4.78,726
08/01/2009 08:00   CDT,0.88,4.78,726
08/01/2009 08:15   CDT,0.84,4.79,699
08/01/2009 08:30   CDT,0.82,4.79,678
08/01/2009 08:45   CDT,0.79,4.80,651
08/01/2009 09:00   CDT,0.80,4.80,665
08/01/2009 09:15   CDT,0.75,4.81,624
08/01/2009 09:30   CDT,0.74,4.82,618
08/01/2009 09:45   CDT,0.75,4.84,627
08/01/2009 10:00   CDT,0.71,4.86,593
08/01/2009 10:15   CDT,0.73,4.87,608
