Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/01/2016 00:00   CDT,1.05,6.27,1020
08/01/2016 00:15   CDT,1.04,6.26,1000
08/01/2016 00:30   CDT,1.05,6.25,1020
08/01/2016 00:45   CDT,1.01,6.24,975
08/01/2016 01:00   CDT,1.09,6.24,1050
08/01/2016 01:15   CDT,1.05,6.23,1010
08/01/2016 01:30   CDT,1.02,6.22,981
08/01/2016 01:45   CDT,1.05,6.22,1010
08/01/2016 02:00   CDT,1.04,6.21,1000
08/01/2016 02:15   CDT,1.02,6.20,979
08/01/2016 02:30   CDT,1.05,6.19,1010
08/01/2016 02:45   CDT,1.07,6.18,1030
08/01/2016 03:00   CDT,1.09,6.17,1040
08/01/2016 03:15   CDT,1.05,6.17,1010
08/01/2016 03:30   CDT,1.06,6.16,1020
08/01/2016 03:45   CDT,1.07,6.15,1020
08/01/2016 04:00   CDT,1.09,6.14,1040
08/01/2016 04:15   CDT,1.06,6.13,1010
08/01/2016 04:30   CDT,1.04,6.12,988
08/01/2016 04:45   CDT,1.09,6.12,1040
08/01/2016 05:00   CDT,1.06,6.10,1010
08/01/2016 05:15   CDT,1.06,6.10,1010
08/01/2016 05:30   CDT,1.11,6.09,1060
08/01/2016 05:45   CDT,1.11,6.08,1060
08/01/2016 06:00   CDT,1.08,6.07,1020
08/01/2016 06:15   CDT,1.06,6.06,1010
08/01/2016 06:30   CDT,1.12,6.05,1060
08/01/2016 06:45   CDT,1.11,6.04,1050
08/01/2016 07:00   CDT,1.06,6.03,1000
08/01/2016 07:15   CDT,1.07,6.03,1010
08/01/2016 07:30   CDT,1.10,6.02,1040
08/01/2016 07:45   CDT,1.07,6.01,1010
08/01/2016 08:00   CDT,1.10,6.00,1040
08/01/2016 08:15   CDT,1.12,6.00,1050
08/01/2016 08:30   CDT,1.10,5.99,1040
08/01/2016 08:45   CDT,1.08,5.99,1010
08/01/2016 09:00   CDT,1.09,6.00,1020
08/01/2016 09:15   CDT,1.08,6.00,1020
08/01/2016 09:30   CDT,1.14,6.00,1070
08/01/2016 09:45   CDT,1.07,6.01,1010
08/01/2016 10:00   CDT,1.07,6.01,1010
08/01/2016 10:15   CDT,1.04,6.02,978
08/01/2016 10:30   CDT,1.02,6.03,963
08/01/2016 10:45   CDT,1.04,6.04,988
08/01/2016 11:00   CDT,1.02,6.05,965
08/01/2016 11:15   CDT,0.95,6.07,903
08/01/2016 11:30   CDT,0.95,6.08,904
08/01/2016 11:45   CDT,0.95,6.10,906
08/01/2016 12:00   CDT,0.88,6.11,835
08/01/2016 12:15   CDT,0.94,6.12,892
08/01/2016 12:30   CDT,0.90,6.13,861
08/01/2016 12:45   CDT,0.89,6.15,847
08/01/2016 13:00   CDT,0.84,6.16,808
08/01/2016 13:15   CDT,0.90,6.17,864
08/01/2016 13:30   CDT,0.89,6.18,849
08/01/2016 13:45   CDT,0.89,6.18,849
08/01/2016 14:00   CDT,0.89,6.19,858
08/01/2016 14:15   CDT,0.90,6.20,867
08/01/2016 14:30   CDT,0.89,6.20,859
08/01/2016 14:45   CDT,0.84,6.20,803
08/01/2016 15:00   CDT,0.85,6.19,818
08/01/2016 15:15   CDT,0.93,6.20,891
08/01/2016 15:30   CDT,0.89,6.20,859
08/01/2016 15:45   CDT,0.86,6.20,827
08/01/2016 16:00   CDT,0.89,6.19,858
08/01/2016 16:15   CDT,0.87,6.19,834
08/01/2016 16:30   CDT,0.89,6.19,858
08/01/2016 16:45   CDT,0.94,6.18,897
08/01/2016 17:00   CDT,0.94,6.18,897
08/01/2016 17:15   CDT,0.96,6.18,921
08/01/2016 17:30   CDT,0.97,6.17,928
08/01/2016 17:45   CDT,0.96,6.17,920
08/01/2016 18:00   CDT,0.94,6.16,903
08/01/2016 18:15   CDT,0.93,6.15,887
08/01/2016 18:30   CDT,0.91,6.15,871
08/01/2016 18:45   CDT,0.94,6.15,903
08/01/2016 19:00   CDT,0.94,6.14,902
08/01/2016 19:15   CDT,0.97,6.13,925
08/01/2016 19:30   CDT,0.93,6.14,886
08/01/2016 19:45   CDT,0.91,6.13,869
08/01/2016 20:00   CDT,0.94,6.13,893
08/01/2016 20:15   CDT,0.93,6.13,885
08/01/2016 20:30   CDT,0.99,6.12,940
08/01/2016 20:45   CDT,0.93,6.12,884
08/01/2016 21:00   CDT,1.00,6.11,955
08/01/2016 21:15   CDT,0.94,6.11,899
08/01/2016 21:30   CDT,0.95,6.11,907
08/01/2016 21:45   CDT,0.96,6.11,915
08/01/2016 22:00   CDT,1.01,6.11,963
08/01/2016 22:15   CDT,0.97,6.10,922
08/01/2016 22:30   CDT,0.95,6.10,906
08/01/2016 22:45   CDT,0.90,6.10,858
08/01/2016 23:00   CDT,0.99,6.09,937
08/01/2016 23:15   CDT,0.94,6.09,897
08/01/2016 23:30   CDT,0.99,6.09,937
08/01/2016 23:45   CDT,0.94,6.08,888
08/02/2016 00:00   CDT,0.97,6.08,920
08/02/2016 00:15   CDT,0.99,6.07,943
08/02/2016 00:30   CDT,0.94,6.07,896
08/02/2016 00:45   CDT,0.99,6.06,934
08/02/2016 01:00   CDT,1.00,6.06,950
08/02/2016 01:15   CDT,0.96,6.05,910
08/02/2016 01:30   CDT,0.94,6.04,893
08/02/2016 01:45   CDT,1.00,6.04,948
08/02/2016 02:00   CDT,1.00,6.03,947
08/02/2016 02:15   CDT,1.00,6.03,947
08/02/2016 02:30   CDT,0.96,6.02,907
08/02/2016 02:45   CDT,0.99,6.01,930
08/02/2016 03:00   CDT,0.98,6.00,921
08/02/2016 03:15   CDT,1.01,5.99,951
