Date/Time,mean_water_velocity_ft/s,gage_height_ft,discharge_ft3/s
08/02/2011 00:00   CDT,0.98,6.15,935
08/02/2011 00:15   CDT,1.00,6.15,959
08/02/2011 00:30   CDT,0.99,6.14,950
08/02/2011 00:45   CDT,1.01,6.14,966
08/02/2011 01:00   CDT,0.99,6.14,950
08/02/2011 01:15   CDT,0.97,6.13,925
08/02/2011 01:30   CDT,0.99,6.13,941
08/02/2011 01:45   CDT,0.96,6.12,916
08/02/2011 02:00   CDT,0.96,6.12,916
08/02/2011 02:15   CDT,0.97,6.12,924
08/02/2011 02:30   CDT,0.94,6.11,891
08/02/2011 02:45   CDT,0.94,6.10,898
08/02/2011 03:00   CDT,0.94,6.10,898
08/02/2011 03:15   CDT,0.95,6.09,905
08/02/2011 03:30   CDT,0.96,6.08,912
08/02/2011 03:45   CDT,0.96,6.08,912
08/02/2011 04:00   CDT,0.98,6.07,927
08/02/2011 04:15   CDT,0.99,6.06,934
08/02/2011 04:30   CDT,0.98,6.06,926
08/02/2011 04:45   CDT,0.99,6.04,932
08/02/2011 05:00   CDT,0.99,6.04,932
08/02/2011 05:15   CDT,0.99,6.03,939
08/02/2011 05:30   CDT,0.98,6.02,923
08/02/2011 05:45   CDT,0.99,6.02,938
08/02/2011 06:00   CDT,0.99,6.01,937
08/02/2011 06:15   CDT,1.01,6.00,952
08/02/2011 07:15   CDT,1.02,5.97,957
08/02/2011 07:30   CDT,1.02,5.96,956
08/02/2011 07:45   CDT,1.03,5.95,963
08/02/2011 08:00   CDT,1.04,5.95,971
08/02/2011 08:15   CDT,1.02,5.95,955
08/02/2011 08:30   CDT,1.02,5.93,953
08/02/2011 08:45   CDT,1.01,5.92,945
08/02/2011 09:00   CDT,1.02,5.92,953
08/02/2011 09:15   CDT,1.01,5.91,944
08/02/2011 09:30   CDT,1.03,5.91,959
08/02/2011 09:45   CDT,1.04,5.89,965
08/02/2011 10:00   CDT,1.00,5.89,934
08/02/2011 10:15   CDT,1.00,5.88,933
08/02/2011 10:30   CDT,1.05,5.88,980
08/02/2011 10:45   CDT,1.05,5.87,979
08/02/2011 11:00   CDT,1.05,5.85,977
08/02/2011 11:15   CDT,1.05,5.86,978
08/02/2011 11:30   CDT,1.04,5.85,969
08/02/2011 11:45   CDT,1.04,5.85,969
08/02/2011 12:00   CDT,1.05,5.84,976
08/02/2011 12:15   CDT,1.04,5.84,960
08/02/2011 12:30   CDT,1.04,5.84,960
08/02/2011 12:45   CDT,1.00,5.84,929
08/02/2011 13:00   CDT,0.99,5.84,922
08/02/2011 13:15   CDT,1.01,5.84,937
08/02/2011 13:30   CDT,0.98,5.85,907
08/02/2011 13:45   CDT,0.96,5.86,892
08/02/2011 14:00   CDT,0.96,5.86,892
08/02/2011 14:15   CDT,0.94,5.87,878
08/02/2011 14:30   CDT,0.93,5.87,862
08/02/2011 14:45   CDT,0.94,5.87,878
08/02/2011 15:00   CDT,0.95,5.88,886
08/02/2011 15:15   CDT,0.94,5.89,872
